Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
60	:	1757866623.115	    47.516	0	0	0	0	run_single_attr_job 60 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Kinova3 LiftCylinder scale 2 1.2856 3296
63	:	1757866659.504	    42.707	0	0	0	0	run_single_attr_job 63 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Jaco LiftBall scale 1 1.4606 3296
62	:	1757866658.351	    44.741	0	0	0	0	run_single_attr_job 62 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Jaco LiftBall scale 1 1.4606 2008
61	:	1757866658.274	    45.127	0	0	0	0	run_single_attr_job 61 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Jaco LiftBall scale 1 1.4606 1409
64	:	1757866659.624	    45.899	0	0	0	0	run_single_attr_job 64 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Jaco LiftCylinder scale 1 1.4606 1409
65	:	1757866666.352	    43.295	0	0	0	0	run_single_attr_job 65 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Jaco LiftCylinder scale 1 1.4606 2008
66	:	1757866670.643	    43.331	0	0	0	0	run_single_attr_job 66 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Jaco LiftCylinder scale 1 1.4606 3296
71	:	1757866709.655	     7.960	0	0	0	0	run_single_attr_job 71 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Kinova3 LiftCylinder scale 1 1.4606 2008
72	:	1757866713.984	     3.921	0	0	0	0	run_single_attr_job 72 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Kinova3 LiftCylinder scale 1 1.4606 3296
74	:	1757866717.915	     8.424	0	0	0	0	run_single_attr_job 74 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Jaco LiftBall scale 0 0.9996 2008
67	:	1757866702.221	    46.670	0	0	0	0	run_single_attr_job 67 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Kinova3 LiftBall scale 1 1.4606 1409
68	:	1757866703.103	    47.371	0	0	0	0	run_single_attr_job 68 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Kinova3 LiftBall scale 1 1.4606 2008
69	:	1757866703.409	    47.077	0	0	0	0	run_single_attr_job 69 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Kinova3 LiftBall scale 1 1.4606 3296
70	:	1757866705.532	    47.212	0	0	0	0	run_single_attr_job 70 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Kinova3 LiftCylinder scale 1 1.4606 1409
73	:	1757866717.627	    44.080	0	0	0	0	run_single_attr_job 73 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Jaco LiftBall scale 0 0.9996 1409
75	:	1757866726.348	    44.498	0	0	0	0	run_single_attr_job 75 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Jaco LiftBall scale 0 0.9996 3296
